Country/Economy,Total GDP(PPP)(US$MM),Agricultural,Industrial,Service,Agricultural,Industrial,Service
 Gibraltar,"2,044",0.00%,0.00%,100.00%,0,0,"2,044"
 Jersey,"5,569",2.00%,2.00%,96.00%,111,111,"5,346"
 Bermuda,"6,127",0.90%,5.30%,93.80%,55,325,"5,747"
 Macau,"71,820",0.00%,6.30%,93.70%,0,"4,525","67,295"
 British Virgin Islands,500,0.20%,6.80%,93.10%,1,34,466
 Hong Kong,"455,900",0.10%,7.60%,92.30%,456,"34,648","420,796"
 Cayman Islands,"2,507",0.30%,7.40%,92.30%,8,186,"2,314"
 Turks and Caicos Islands,632,0.50%,8.90%,90.60%,3,56,573
 Montserrat,167,1.90%,7.80%,90.30%,3,13,151
" Bahamas, The","12,060",2.30%,7.70%,90.00%,277,929,"10,854"
 Malta,"19,260",1.10%,10.20%,88.70%,212,"1,965","17,084"
 Barbados,"5,218",1.50%,9.80%,88.70%,78,511,"4,628"
 Guernsey,"3,465",3.00%,10.00%,87.00%,104,347,"3,015"
 Luxembourg,"62,110",0.30%,12.80%,86.90%,186,"7,950","53,974"
 Anguilla,175,3.00%,10.50%,86.40%,5,18,151
 Monaco,"7,672",0.00%,14.00%,86.00%,0,"1,074","6,598"
 Isle of Man,"6,792",1.00%,13.00%,86.00%,68,883,"5,841"
 Marshall Islands,196,4.40%,9.90%,85.70%,9,19,168
 Cyprus,"31,780",2.00%,12.50%,85.50%,636,"3,973","27,172"
 French Polynesia,"5,490",2.50%,13.00%,84.50%,137,714,"4,639"
 Saint Martin,562,1.00%,15.00%,84.00%,6,84,472
 Curacao,"3,128",0.70%,15.50%,83.80%,22,485,"2,621"
 Seychelles,"2,750",2.50%,13.80%,83.70%,69,380,"2,302"
 Lebanon,"88,250",3.90%,13.10%,83.00%,"3,442","11,561","73,248"
 Saint Pierre and Miquelon,261,2.00%,15.00%,83.00%,5,39,217
 Saint Lucia,"2,542",2.90%,14.20%,82.80%,74,361,"2,105"
 Cook Islands,300,5.10%,12.70%,82.10%,15,38,246
 Panama,"104,100",2.40%,15.70%,82.00%,"2,498","16,344","85,362"
 Sint Maarten,366,0.40%,18.30%,81.30%,1,67,298
 Maldives,"6,901",3.00%,16.00%,81.00%,207,"1,104","5,590"
 Djibouti,"3,640",2.40%,17.30%,80.20%,87,630,"2,919"
 United States,"19,490,000",0.90%,19.10%,80.00%,"175,410","3,722,590","15,592,000"
 United Kingdom,"2,925,000",0.70%,20.20%,79.20%,"20,475","590,850","2,316,600"
 Greece,"299,300",4.10%,16.90%,79.10%,"12,271","50,582","236,746"
 France,"2,856,000",1.70%,19.50%,78.80%,"48,552","556,920","2,250,528"
 Palau,264,3.00%,19.00%,78.00%,8,50,206
 Grenada,"1,634",6.80%,15.50%,77.70%,111,253,"1,270"
 Antigua and Barbuda,"2,398",1.80%,20.80%,77.30%,43,499,"1,854"
 Belgium,"529,200",0.70%,22.10%,77.20%,"3,704","116,953","408,542"
 Montenegro,"11,080",7.50%,15.90%,76.60%,831,"1,762","8,487"
 Denmark,"287,800",1.30%,22.90%,75.80%,"3,741","65,906","218,152"
 Portugal,"314,100",2.20%,22.10%,75.70%,"6,910","69,416","237,774"
 Saint Vincent and the Grenadines,"1,265",7.10%,17.40%,75.50%,90,220,955
 Singapore,"528,100",0.00%,24.80%,75.20%,0,"130,969","397,131"
 Iceland,"18,180",5.80%,19.70%,74.60%,"1,054","3,581","13,562"
 Spain,"1,778,000",2.60%,23.20%,74.20%,"46,228","412,496","1,319,276"
 Mauritius,"28,270",4.00%,21.80%,74.10%,"1,131","6,163","20,948"
 Italy,"2,317,000",2.10%,23.90%,73.90%,"48,657","553,763","1,712,263"
 Costa Rica,"83,940",5.50%,20.60%,73.90%,"4,617","17,292","62,032"
 Greenland,"2,413",15.90%,10.10%,73.90%,384,244,"1,783"
  Switzerland,"523,100",0.70%,25.60%,73.70%,"3,662","133,914","385,525"
 Latvia,"54,020",3.90%,22.40%,73.70%,"2,107","12,100","39,813"
 Cabo Verde,"3,777",8.90%,17.50%,73.70%,336,661,"2,784"
 Cuba,"137,000",4.00%,22.70%,73.40%,"5,480","31,099","100,558"
 Sao Tome and Principe,686,11.80%,14.80%,73.40%,81,102,504
 New Zealand,"189,000",5.70%,21.50%,72.80%,"10,773","40,635","137,592"
 Brazil,"3,248,000",6.60%,20.70%,72.70%,"214,368","672,336","2,361,296"
 New Caledonia,"11,110",1.40%,26.40%,72.10%,156,"2,933","8,010"
 Jamaica,"26,060",7.00%,21.10%,71.90%,"1,824","5,499","18,737"
 Australia,"1,248,000",3.60%,25.30%,71.20%,"44,928","315,744","888,576"
 European Union,"20,850,000",1.60%,25.10%,70.90%,"333,600","5,233,350","14,782,650"
 Botswana,"39,010",1.80%,27.50%,70.60%,702,"10,728","27,541"
 Kosovo,"19,600",11.90%,17.70%,70.40%,"2,332","3,469","13,798"
 Austria,"441,000",1.30%,28.40%,70.30%,"5,733","125,244","310,023"
 Canada,"1,774,000",1.60%,28.20%,70.20%,"28,384","500,268","1,245,348"
 Netherlands,"924,400",1.60%,17.90%,70.20%,"14,790","165,468","648,929"
 Croatia,"102,100",3.70%,26.20%,70.10%,"3,778","26,750","71,572"
 Kiribati,227,23.00%,7.00%,70.00%,52,16,159
 Tuvalu,42,24.50%,5.60%,70.00%,10,2,29
 Uruguay,"78,160",6.20%,24.10%,69.70%,"4,846","18,837","54,478"
 Israel,"317,100",2.40%,26.50%,69.50%,"7,610","84,032","220,385"
 Guyana,"6,301",15.40%,15.30%,69.30%,970,964,"4,367"
 Finland,"244,900",2.70%,28.20%,69.10%,"6,612","69,062","169,226"
 Fiji,"8,629",13.50%,17.40%,69.10%,"1,165","1,501","5,963"
 Saint Kitts and Nevis,"1,550",1.10%,30.00%,68.90%,17,465,"1,068"
 Japan,"5,443,000",1.10%,30.10%,68.70%,"59,873","1,638,343","3,739,341"
 Germany,"4,199,000",0.70%,30.70%,68.60%,"29,393","1,289,093","2,880,514"
 Estonia,"41,650",2.80%,29.20%,68.10%,"1,166","12,162","28,364"
 Belize,"3,218",10.30%,21.60%,68.00%,331,695,"2,188"
 Yemen,"73,630",20.30%,11.80%,67.90%,"14,947","8,688","49,995"
 Georgia,"39,850",8.20%,23.70%,67.90%,"3,268","9,444","27,058"
 South Africa,"767,200",2.80%,29.70%,67.50%,"21,482","227,858","517,860"
 Bulgaria,"153,500",4.30%,28.00%,67.40%,"6,601","42,980","103,459"
 Lithuania,"91,470",3.50%,29.40%,67.20%,"3,201","26,892","61,468"
 Namibia,"26,600",6.70%,26.30%,67.00%,"1,782","6,996","17,822"
 Jordan,"89,000",4.50%,28.80%,66.60%,"4,005","25,632","59,274"
 Aruba,"4,158",0.40%,33.30%,66.30%,17,"1,385","2,757"
 Samoa,"1,137",10.40%,23.60%,66.00%,118,268,750
 Slovenia,"71,230",1.80%,32.20%,65.90%,"1,282","22,936","46,941"
 Zimbabwe,"34,270",12.00%,22.20%,65.80%,"4,112","7,608","22,550"
 Sweden,"518,000",1.60%,33.00%,65.40%,"8,288","170,940","338,772"
